"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"la fierté","n.f.","B1","Sentiment de satisfaction que l'on ressent quand on a bien réussi quelque chose.","pride","Émotions","","Elle ressent une grande fierté en voyant ses résultats scolaires."
"la honte","n.f.","B1","Sentiment pénible causé par une faute ou une situation embarrassante.","shame","Émotions","","Il a rougi de honte quand il a réalisé son erreur devant tout le monde."
"la jalousie","n.f.","B1","Sentiment douloureux de craindre la concurrence ou d'envier ce que possède l'autre.","jealousy, envy","Émotions","","La jalousie entre frères et sœurs est normale mais difficile à gérer."
"l'inquiétude","n.f.","B1","État de trouble causé par la crainte de ce qui pourrait arriver.","worry, anxiety","Émotions","","L'inquiétude des parents grandit quand leur enfant ne rentre pas à l'heure."
"la déception","n.f.","B1","Sentiment d'insatisfaction quand la réalité ne correspond pas à ce qu'on espérait.","disappointment","Émotions","","Sa déception était visible lorsqu'il n'a pas été choisi pour l'équipe."
"l'espoir","n.m.","B1","Sentiment que ce que l'on désire est possible ou probable.","hope","Émotions","","Malgré les difficultés, elle gardait l'espoir de réussir."
"la confiance","n.f.","B1","Sentiment de sécurité que l'on ressent envers quelqu'un ou envers soi-même.","trust, confidence","Émotions","","La confiance en soi est essentielle pour parler devant un public."
"la colère","n.f.","B1","Réaction émotionnelle forte causée par quelque chose d'injuste ou d'irritant.","anger","Émotions","","Sa colère était compréhensible après tant d'injustices."
"la patience","n.f.","B1","Capacité à attendre sans s'énerver, à supporter les difficultés avec calme.","patience","Émotions","","Il faut beaucoup de patience pour apprendre à jouer d'un instrument."
"la curiosité","n.f.","B1","Désir naturel de savoir, d'apprendre et de découvrir.","curiosity","Émotions","","La curiosité intellectuelle est la qualité première d'un bon élève."
"un citoyen","n.m.","B1","Personne qui appartient légalement à un pays et y a des droits et des devoirs.","citizen","Société","","Voter est le droit et le devoir de chaque citoyen."
"un voisin","n.m.","B1","Personne qui habite près de chez vous, dans le même immeuble ou le même quartier.","neighbour","Société","","Mon voisin m'aide souvent quand j'ai besoin d'un coup de main."
"une loi","n.f.","B1","Règle établie par un gouvernement que tous les citoyens doivent respecter.","law","Société","","Une nouvelle loi interdit l'utilisation du téléphone en conduisant."
"un quartier","n.m.","B1","Subdivision d'une ville, ayant souvent une identité ou une ambiance particulière.","neighbourhood, district","Société","","Le quartier historique de la ville attire de nombreux touristes."
"une frontière","n.f.","B1","Limite qui sépare deux pays ou deux territoires.","border","Société","","La frontière entre les deux pays est traversée chaque jour par des milliers de personnes."
"un droit","n.m.","B1","Ce à quoi une personne peut légalement prétendre selon les lois.","right","Société","","Le droit à l'éducation est fondamental dans les sociétés modernes."
"une réunion","n.f.","B1","Moment où des personnes se retrouvent pour discuter d'un sujet précis.","meeting","Travail","","La réunion du lundi matin permet à toute l'équipe de s'organiser."
"un collègue","n.m.","B1","Personne avec qui on travaille dans la même entreprise ou le même milieu.","colleague","Travail","","Mes collègues sont sympathiques et m'ont bien accueilli."
"une entreprise","n.f.","B1","Organisation commerciale ou industrielle qui produit des biens ou des services.","company, business","Travail","","Il a créé sa propre entreprise après plusieurs années d'expérience."
"un salaire","n.m.","B1","Somme d'argent versée régulièrement à un employé en échange de son travail.","salary, wage","Travail","","Son salaire a augmenté après sa promotion."
"un contrat","n.m.","B1","Accord écrit et signé entre deux parties qui définit leurs obligations.","contract","Travail","","Il a signé un contrat de travail pour une durée de deux ans."
"un projet","n.m.","B1","Plan ou idée que l'on souhaite réaliser dans le futur.","project, plan","Travail","","Notre équipe travaille sur un projet ambitieux depuis trois mois."
"une blessure","n.f.","B1","Dommage physique causé par un choc, une chute ou un accident.","injury, wound","Santé","","Sa blessure au genou l'a empêché de participer au tournoi."
"un médicament","n.m.","B1","Substance utilisée pour traiter une maladie ou soulager une douleur.","medicine, medication","Santé","","Le médecin lui a prescrit des médicaments à prendre matin et soir."
"une douleur","n.f.","B1","Sensation physique désagréable causée par une maladie ou une blessure.","pain","Santé","","Il ressentait une vive douleur dans le dos après sa chute."
"une fièvre","n.f.","B1","Élévation anormale de la température du corps, signe souvent d'une infection.","fever","Santé","","L'enfant avait de la fièvre et devait rester au lit."
"un rhume","n.m.","B1","Infection bénigne du nez et de la gorge, très commune en hiver.","cold","Santé","","Je reste chez moi aujourd'hui, j'ai attrapé un rhume."
"une guérison","n.f.","B1","Retour à la santé après une maladie ou une blessure.","recovery, healing","Santé","","Sa guérison a été plus rapide que prévu grâce au traitement."
"la pollution","n.f.","B1","Dégradation de l'environnement par des substances nuisibles.","pollution","Environnement","","La pollution de l'air dans les grandes villes est un problème de santé publique."
"une tempête","n.f.","B1","Perturbation atmosphérique violente avec pluie, vent fort et éclairs.","storm","Environnement","","La tempête a causé d'importants dégâts sur la côte."
