"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"un chien","n.m.","A1","Animal domestique fidèle, souvent gardien de la maison.","dog","Animaux","","Le chien jappe et remue la queue quand son maître arrive."
"un chat","n.m.","A1","Petit animal domestique à fourrure, indépendant et câlin.","cat","Animaux","","Le chat dort sur le canapé toute la journée."
"un oiseau","n.m.","A1","Animal à plumes et à bec, souvent capable de voler.","bird","Animaux","","Un oiseau chante dans l'arbre devant ma fenêtre."
"un poisson","n.m.","A1","Animal aquatique qui respire sous l'eau grâce à ses branchies.","fish","Animaux","","Le poisson rouge nage en cercles dans son bocal."
"un lapin","n.m.","A1","Petit animal aux longues oreilles qui aime les carottes.","rabbit","Animaux","","Le lapin grignote une carotte dans son enclos."
"un cheval","n.m.","A1","Grand animal à quatre pattes que l'on peut monter.","horse","Animaux","","La petite fille monte son cheval tous les samedis."
"une vache","n.f.","A1","Animal de la ferme qui donne du lait.","cow","Animaux","","La vache broute l'herbe dans le pré toute la journée."
"un cochon","n.m.","A1","Animal de la ferme à la peau rose, qui grogne.","pig","Animaux","","Le cochon se roule dans la boue pour se rafraîchir."
"une grenouille","n.f.","A1","Petit animal vert qui vit près des étangs et fait coâ-coâ.","frog","Animaux","","La grenouille saute d'un nénuphar à l'autre."
"un canard","n.m.","A1","Oiseau aquatique aux pattes palmées qui fait coin-coin.","duck","Animaux","","Le canard nage sur le lac avec ses petits."
"une mère","n.f.","A1","La femme qui a donné naissance à un enfant.","mother","Famille","","Ma mère prépare le dîner chaque soir."
"un père","n.m.","A1","L'homme qui est le parent d'un enfant.","father","Famille","","Mon père me lit une histoire avant de dormir."
"une sœur","n.f.","A1","Une fille qui a les mêmes parents que toi.","sister","Famille","","Ma sœur et moi jouons ensemble après l'école."
"un frère","n.m.","A1","Un garçon qui a les mêmes parents que toi.","brother","Famille","","Mon frère aime jouer au football dans le jardin."
"une grand-mère","n.f.","A1","La mère de ton père ou de ta mère.","grandmother","Famille","","Ma grand-mère fait les meilleurs gâteaux du monde."
"un grand-père","n.m.","A1","Le père de ton père ou de ta mère.","grandfather","Famille","","Mon grand-père me raconte des histoires d'autrefois."
"un bébé","n.m.","A1","Un tout petit enfant qui ne sait pas encore marcher.","baby","Famille","","Le bébé pleure parce qu'il a faim."
"un oncle","n.m.","A1","Le frère de ta mère ou de ton père.","uncle","Famille","","Mon oncle habite loin, mais il vient nous voir à Noël."
"une tante","n.f.","A1","La sœur de ta mère ou de ton père.","aunt","Famille","","Ma tante m'a offert un beau livre pour mon anniversaire."
"la tête","n.f.","A1","La partie du corps en haut, avec le visage et le cerveau.","head","Corps","","Je porte un chapeau sur la tête quand il fait froid."
"les yeux","n.m.","A1","Les organes de la vue, qui permettent de voir.","eyes","Corps","pluriel de œil","Elle a les yeux bleus comme le ciel."
"le nez","n.m.","A1","L'organe du visage qui sert à sentir et à respirer.","nose","Corps","","En hiver, j'ai le nez rouge à cause du froid."
"la bouche","n.f.","A1","L'ouverture du visage qui sert à manger et à parler.","mouth","Corps","","Ouvre la bouche pour que le dentiste regarde tes dents."
"les oreilles","n.f.","A1","Les organes de l'ouïe, qui permettent d'entendre.","ears","Corps","pluriel","Mon chien dresse les oreilles quand il entend un bruit."
"les mains","n.f.","A1","Les parties du corps au bout des bras, qui servent à toucher et attraper.","hands","Corps","pluriel","Lave-toi les mains avant de passer à table."
"les pieds","n.m.","A1","Les parties du corps au bout des jambes, sur lesquelles on marche.","feet","Corps","pluriel","J'ai mal aux pieds après une longue promenade."
"les cheveux","n.m.","A1","Les poils fins qui poussent sur la tête.","hair","Corps","pluriel, toujours au pluriel en français","Elle a les cheveux longs et bouclés."
"le pain","n.m.","A1","Aliment de base fait de farine et cuit au four.","bread","Nourriture","","Je mange une tartine de pain avec du beurre au petit-déjeuner."
"le lait","n.m.","A1","Liquide blanc produit par les vaches, riche en calcium.","milk","Nourriture","","Je bois un verre de lait chaque matin."
"une pomme","n.f.","A1","Fruit rond et croquant, rouge ou vert, qui pousse sur un pommier.","apple","Nourriture","","Une pomme par jour, c'est bon pour la santé."
