"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte","alt en","formes alt"
"planter","verbe","B1","Mettre en terre pour que ça pousse — imparfait 3e pers. sg.","plantait","Conjugaison — giono","imparfait","Chaque printemps, il ___ de nouveaux arbres sur le flanc de la colline.","","plantera|a planté|plante"
"parcourir","verbe","B1","Traverser une région — passé composé 1re pers. sg.","ai parcouru","Conjugaison — giono","passé composé","J'___ à pied ces hautes terres arides pendant plusieurs jours.","","parcourais|parcourus|parcourrais"
"apercevoir","verbe","B2","Voir soudainement — passé simple 1re pers. sg.","aperçus","Conjugaison — giono","passé simple","J'___ au loin la silhouette d'un homme debout dans les collines.","","apercevais|ai aperçu|apercevrai"
"sortir","verbe","B2","Extraire quelque chose — passé simple 3e pers. sg.","sortit","Conjugaison — giono","passé simple","Il ___ un sac de cuir et compta cent glands sur la table.","","sortait|est sorti|sortira"
"être","verbe","B1","Exister, se trouver — imparfait 3e pers. sg.","était","Conjugaison — giono","imparfait","Ce vieillard ___ seul dans ces montagnes depuis des années.","","est|sera|a été"
"demander","verbe","B2","Poser une question — passé simple 1re pers. sg.","demandai","Conjugaison — giono","passé simple","Je lui ___ où il allait planter tous ces arbres.","","demandais|ai demandé|demanderai"
"répondre","verbe","B2","Donner une réponse — passé simple 3e pers. sg.","répondit","Conjugaison — giono","passé simple","Il me ___ simplement que c'était son affaire et la sienne seule.","","répondait|a répondu|répondra"
"pousser","verbe","B2","Croître, grandir — plus-que-parfait 3e pers. pl.","avaient poussé","Conjugaison — giono","plus-que-parfait","Des milliers d'arbres ___ là où régnait jadis le désert de pierres.","","poussaient|ont poussé|pousseront"
"avoir","verbe","B1","Posséder — imparfait 3e pers. sg.","avait","Conjugaison — giono","imparfait","Il ___ la patience tranquille de quelqu'un qui sait ce qu'il veut.","","a|aura|a eu"
"voir","verbe","B2","Constater — passé simple 1re pers. sg.","vis","Conjugaison — giono","passé simple","Je ___ alors que quelque chose avait profondément changé dans ce pays.","","voyais|ai vu|verrai"
"transformer","verbe","B1","Changer complètement — passé composé 3e pers. sg.","a transformé","Conjugaison — giono","passé composé","En quelques décennies, cet homme solitaire ___ toute une région aride.","","transformait|avait transformé|transformera"
"continuer","verbe","B1","Ne pas s'arrêter — imparfait 3e pers. sg.","continuait","Conjugaison — giono","imparfait","Malgré la guerre, il ___ à planter ses arbres en silence chaque jour.","","a continué|continuera|continue"
"revenir","verbe","B1","Retourner dans un endroit — passé composé 1re pers. sg.","suis revenu","Conjugaison — giono","passé composé","Après la guerre, je ___ dans ces collines que je croyais mortes.","","revenais|revins|reviendrai"
"couler","verbe","B1","S'écouler, pour de l'eau — imparfait 3e pers. sg.","coulait","Conjugaison — giono","imparfait","L'eau ___ à nouveau dans des ruisseaux qui avaient été à sec pendant des années.","","a coulé|coulerait|coulera"
"pouvoir","verbe","B1","Être en mesure de — imparfait 3e pers. sg.","pouvait","Conjugaison — giono","imparfait","On ___ maintenant voir des frênes, des chênes et des hêtres sur les pentes.","","a pu|pourra|peut"
"décider","verbe","B1","Prendre une résolution — passé composé 3e pers. sg.","a décidé","Conjugaison — giono","passé composé","Il ___ de consacrer sa vie à redonner vie à ces terres abandonnées.","","décidait|décidera|décide"
"reconnaître","verbe","B2","Identifier quelque chose qu'on a déjà vu — passé simple 1re pers. sg.","reconnus","Conjugaison — giono","passé simple","Je ___ à peine le paysage que j'avais traversé des années plus tôt.","","reconnaissais|ai reconnu|reconnaîtrai"
"partir","verbe","B2","Quitter un endroit — passé simple 3e pers. sg.","partit","Conjugaison — giono","passé simple","Le lendemain matin, il ___ à l'aube sans faire de bruit.","","partait|est parti|partira"
"falloir","verbe","B2","Être nécessaire — conditionnel présent.","faudrait","Conjugaison — giono","conditionnel","Il ___ des siècles pour détruire ce qu'un seul homme avait créé en silence.","","fallait|faudra|a fallu"
"s'étendre","verbe","B1","Se développer sur une large surface — imparfait 3e pers. sg.","s'étendait","Conjugaison — giono","imparfait","Une véritable forêt ___ maintenant sur les collines autrefois nues.","","s'est étendu|s'étendra|s'étend"
