"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"un enjeu","n.m.","C1","Ce qui est en jeu dans une situation, l'importance réelle de ce qui est en question.","stake, issue","Abstrait","","Les enjeux environnementaux sont au cœur des débats politiques actuels."
"une contrainte","n.f.","C1","Limitation imposée par des circonstances ou des règles qui restreint la liberté d'action.","constraint, restriction","Abstrait","","Travailler sous de fortes contraintes budgétaires demande beaucoup de créativité."
"un compromis","n.m.","C1","Accord obtenu par des concessions mutuelles entre des parties qui ont des positions différentes.","compromise","Abstrait","","Trouver un compromis acceptable pour les deux parties a pris plusieurs semaines."
"une hypothèse","n.f.","C1","Supposition provisoire servant de point de départ à une démonstration ou une recherche.","hypothesis","Abstrait","","Ses recherches s'appuient sur l'hypothèse que le langage influence la pensée."
"un paradoxe","n.m.","C1","Affirmation qui semble contradictoire mais qui peut révéler une vérité profonde.","paradox","Abstrait","","C'est un paradoxe : plus on est connecté numériquement, plus on se sent seul."
"une nuance","n.f.","C1","Différence subtile entre des choses qui semblent semblables au premier abord.","nuance","Abstrait","","Son analyse manque de nuances, elle simplifie une réalité très complexe."
"un principe","n.m.","C1","Règle fondamentale qui guide la conduite ou le raisonnement.","principle","Abstrait","","Le principe d'égalité est au fondement de la démocratie moderne."
"une perspective","n.f.","C1","Point de vue particulier à partir duquel on envisage une situation ou un problème.","perspective, outlook","Abstrait","","Aborder ce problème depuis une perspective historique éclaire bien des malentendus."
"l'ambiguïté","n.f.","C1","Caractère de ce qui peut être interprété de plusieurs façons différentes.","ambiguity","Abstrait","","L'ambiguïté du texte de loi a donné lieu à de nombreuses interprétations divergentes."
"un postulat","n.m.","C1","Affirmation acceptée comme vraie sans démonstration, servant de base à un raisonnement.","postulate, assumption","Abstrait","","Son raisonnement repose sur un postulat discutable."
"la démocratie","n.f.","C1","Système politique dans lequel le pouvoir appartient au peuple, qui l'exerce par le vote.","democracy","Politique","","La démocratie repose sur des contre-pouvoirs et une presse libre."
"la solidarité","n.f.","C1","Sentiment qui pousse les individus à s'entraider et à partager les difficultés.","solidarity","Société","","La crise a révélé un élan de solidarité entre les habitants du quartier."
"l'autonomie","n.f.","C1","Capacité à se gouverner soi-même, à prendre ses propres décisions.","autonomy, independence","Société","","L'autonomie des étudiants se développe progressivement au fil du cursus."
"la tolérance","n.f.","C1","Respect et acceptation des différences de pensée, de croyance ou de mode de vie d'autrui.","tolerance","Société","","La tolérance est la condition nécessaire au vivre-ensemble dans une société diverse."
"l'éthique","n.f.","C1","Ensemble de principes moraux qui guident les comportements dans un domaine donné.","ethics","Société","","L'éthique médicale exige de respecter le consentement des patients."
"une idéologie","n.f.","C1","Ensemble structuré d'idées et de valeurs qui guide l'action politique ou sociale.","ideology","Politique","","Toute idéologie comporte des angles morts qu'il faut savoir identifier."
"le pouvoir","n.m.","C1","Capacité d'agir, d'influencer ou de décider dans une situation ou une organisation.","power","Politique","","L'abus de pouvoir est l'une des principales menaces pour les institutions démocratiques."
"une résilience","n.f.","C1","Capacité à surmonter des épreuves difficiles et à se reconstruire après un traumatisme.","resilience","Psychologie","","La résilience est une compétence émotionnelle qui peut s'apprendre."
"l'empathie","n.f.","C1","Capacité à comprendre et à ressentir les émotions d'une autre personne.","empathy","Psychologie","","L'empathie est fondamentale dans toutes les professions d'aide à la personne."
"la mélancolie","n.f.","C1","Tristesse douce et vague, souvent liée à la nostalgie ou à une sensation de perte.","melancholy","Psychologie","","Une profonde mélancolie transparaît dans l'ensemble de son œuvre."
"la nostalgie","n.f.","C1","Sentiment de tristesse mêlée de tendresse au souvenir du passé.","nostalgia","Psychologie","","La nostalgie de sa ville natale le prenait parfois par surprise."
"l'indignation","n.f.","C1","Sentiment de colère morale provoqué par quelque chose d'injuste ou d'inadmissible.","indignation, outrage","Psychologie","","L'indignation du public face au scandale a forcé le gouvernement à réagir."
"la lucidité","n.f.","C1","Capacité à voir et à analyser les choses clairement, sans illusion.","clear-headedness, lucidity","Psychologie","","Sa lucidité sur ses propres limites est l'une de ses grandes forces."
"la bienveillance","n.f.","C1","Disposition à vouloir du bien aux autres, à être attentif et favorable envers eux.","goodwill, benevolence","Psychologie","","Un management fondé sur la bienveillance améliore la productivité des équipes."
"la perplexité","n.f.","C1","État d'esprit d'une personne qui ne sait pas quoi penser ou quoi faire face à une situation confuse.","perplexity, bewilderment","Psychologie","","Sa réponse inattendue a plongé l'assemblée dans la perplexité."
"une œuvre","n.f.","C1","Production artistique ou intellectuelle d'un auteur, considérée dans son ensemble ou isolément.","work (of art, literature)","Culture","","L'ensemble de l'œuvre de Proust constitue une exploration unique de la mémoire."
"un chef-d'œuvre","n.m.","C1","Ouvrage réalisé avec un art exceptionnel, considéré comme le meilleur dans son genre.","masterpiece","Culture","","La Joconde est souvent considérée comme le chef-d'œuvre absolu de la peinture."
"une métaphore","n.f.","C1","Figure de style qui compare deux choses différentes sans utiliser les mots de comparaison.","metaphor","Culture","","La phrase « La vie est un voyage » est une métaphore devenue trop usée."
"un discours","n.m.","C1","Développement oral ou écrit sur un sujet, destiné à convaincre ou à informer un public.","speech, discourse","Culture","","Son discours d'adieu a ému toute l'assemblée."
"une critique","n.f.","C1","Analyse argumentée et évaluative d'une œuvre, d'une idée ou d'une action.","review, critique, criticism","Culture","","La pièce a reçu des critiques très élogieuses dans la presse spécialisée."
"une allusion","n.f.","C1","Référence indirecte à quelque chose ou à quelqu'un, sans le nommer explicitement.","allusion","Culture","","Il a fait une allusion discrète à l'échec du projet sans en parler directement."
"l'esthétique","n.f.","C1","Ce qui concerne la beauté et la sensibilité artistique ; théorie du beau.","aesthetics","Culture","","L'esthétique minimaliste de l'architecte est reconnaissable entre toutes."
"susciter","v.","C1","Provoquer l'apparition ou le développement d'un sentiment, d'une réaction.","to arouse, to generate, to prompt","Actions","","Ce documentaire a suscité de nombreuses vocations chez les jeunes scientifiques."
